user_id,nickname,gender,birthday,province,city,level,createTime
1469440691,睡意朦胧yyds,1,894297600000,510000,511700,9,1527402396575
1474405602,总飘雪-,2,1097596690000,410000,410200,9,1527865344360
538307528,_Snowball_,2,696009600000,370000,370200,9,1499678493403
318120204,羽檬-,2,970848000000,1000000,1000800,7,1471005897970
1473497178,云若水1805,0,-2209017600000,0,100,7,1527778676555
571558927,最爱狗狗o,2,1004069937000,410000,411300,8,1533461056937
1492038355,柚子味的泰泰,2,-2209017600000,0,100,7,1529253146413
6361736087,Lesile杰仔,1,983894400000,440000,440700,7,1640057440176
1379982639,Haimi1991,2,-2209017600000,350000,350500,8,1558026184928
8437621623,董婉,2,1355048041730,320000,320200,7,1678252630518
1632428013,风铃不悲伤xxq,2,-2209017600000,340000,340300,7,1554200107159
7833046479,爱总忧郁难懂,2,-2209017600000,130000,130600,7,1651305922139
6403545075,无恨倾心,0,-2209017600000,510000,511000,8,1642852179352
1370085940,7eveol,1,1086924702721,440000,440100,10,1518494694721
594199299,MeowMeowMeeow,1,1123645007414,210000,210400,7,1505608051733
1874904796,尚恩928,1,-2209017600000,340000,340100,7,1576454759766
79685954,clarkww,1,524764800000,320000,320800,9,1436607259779
8703698767,冷少不冷_LCQ,2,-2209017600000,130000,130500,5,1689724154054
8545202253,阿沈的柒柒,2,-2209017600000,0,100,4,-1
630054311,取名不如娶你啊,1,916798654023,530000,530100,10,1509185602685
1823863538,妤梦祎,2,-2209017600000,340000,340300,3,1555155510430
1854084109,然然然-_5,2,1160572761192,1000000,1005700,8,1557931693153
2126274067,180秒半,1,-2209017600000,210000,210100,7,1579931342458
1432959646,斜杠上划线,0,1853959066731,0,100,9,-1
3872427866,诞奇,0,-2209017600000,140000,140700,5,1598763502750
1534119296,Mister_40,1,-2209017600000,0,100,9,1536489118010
8668259517,聆听小熙恋语,2,1354550400000,510000,510700,8,1688614120394
305242135,语诺熊熊,2,-2209017600000,510000,510100,9,1471661377977
547885420,Sunq7,2,-2209017600000,420000,421100,8,1501306805369
1462807380,夏目君77,2,-2209017600000,0,100,10,1526805245233
1558286051,CureWing,1,1029254400000,1000000,1005500,7,1534472761385
3932513766,Beluga_11451410086,1,1334851200000,430000,430400,6,1602389899412
1869388588,奥特小杨,1,1112958993348,420000,420300,7,1559365973573
544029952,素流S,1,996940800000,330000,330100,9,1500301322435
12092254008,rodbiao,1,1483209507000,510000,510100,7,1719125022706
3231508275,琪琪卞2002,2,-2209017600000,320000,320100,8,1582481440181
601330727,Skull_大叔,1,934141315200,320000,321100,9,1506332990738
1348590887,OrmKornnaphat-_-,2,855590400000,0,100,9,1516547500743
69842329,DBAABEAGLEDBAA,0,817142400000,310000,310101,9,1434854155893
2092846544,ORMKORNNA,2,-2209017600000,0,100,9,-1
498277804,时荼Biu,2,-2209017600000,0,100,9,1496401888091
546022954,哈喽小稀罕,0,-2209017600000,0,100,8,-1
395097095,Rumori,1,631185052481,610000,610100,7,1483704580650
129836680,小橙子吖_99,0,939830400000,1000000,1010000,9,1454240870015
75734328,三哥3389,1,-2209017600000,310000,310104,7,1434770119512
1622454478,外星人-Alien_,1,-1553379761085,1000000,1006600,9,1538541066005
128354008,反光的耗子,2,876065154000,330000,330100,9,1453901961472
115963752,卷毛-史巴兰,1,-2209017600000,440000,440100,9,1450801975799
